index	track	branch	parent_commit	commit	recipe	metric_name	metric_value	memory_gb	elapsed_min	launcher	job_id	command	log_path	status	description
1	apertus70b	codex/sync-upstream-36b5999a7-replay	a2de667546e760134ca50cd27fed5d556208e7be	6bb1dfe49b3a5a7079c96344f085f9a1b1862851	examples/configs/recipes/llm/dpo-apertus1p5-8b-maxmin-megatron.yaml	steady_training_mfu_percent	0.0	0.0	0.70	sbatch	3146197	sbatch --nodes=4 .tmp/apertus70b_perf/launch_apertus70b_dpo_topology.slurm tp4pp4	.tmp/nemo-upstream-replay/.tmp/apertus70b_perf/slurm_3146197.out	crash	Invalid embedded-Python quoting before model setup; no topology evidence
2	apertus70b	codex/sync-upstream-36b5999a7-replay	a2de667546e760134ca50cd27fed5d556208e7be	6bb1dfe49b3a5a7079c96344f085f9a1b1862851	examples/configs/recipes/llm/dpo-apertus1p5-8b-maxmin-megatron.yaml	steady_training_mfu_percent	0.0	0.0	1.52	sbatch	3146221	sbatch --nodes=4 .tmp/apertus70b_perf/launch_apertus70b_dpo_topology.slurm tp4pp4	.tmp/nemo-upstream-replay/.tmp/apertus70b_perf/runs/tp4pp4_3146221/run.log	crash	Worker uv sync rejected incomplete isolated workspace before Megatron model creation; no topology evidence
3	glm5p1-rollout	codex/sync-upstream-36b5999a7-replay	a2de667546e760134ca50cd27fed5d556208e7be	a2de667546e760134ca50cd27fed5d556208e7be	.tmp/glm5p1_vllm_preflight/probe_glm5p1_vllm_tp32_async.py	output_tokens_per_second	70.021	76.296	4.72	sbatch	3146203	sbatch .tmp/glm5p1_vllm_preflight/probe_glm5p1_vllm_tp32_async.slurm	.tmp/nemo-upstream-replay/.tmp/glm5p1_vllm_preflight/run_3146203/run.log	keep	Dummy/refit-ready GLM-5.1 TP32/EP32 async engine initialized in 171.577s and generated 2048 tokens in 29.248s; architecture-fit only; COMPLETED 0:0
4	glm5p1-rollout	codex/sync-upstream-36b5999a7-replay	a2de667546e760134ca50cd27fed5d556208e7be	a2de667546e760134ca50cd27fed5d556208e7be	.tmp/glm5p1_vllm_preflight/probe_glm5p1_vllm_tp32_async.py	output_tokens_per_second	0.0	0.0	0.15	sbatch	3146238	sbatch .tmp/glm5p1_vllm_preflight/probe_glm5p1_vllm_tp32_async.slurm	.tmp/nemo-upstream-replay/.tmp/glm5p1_vllm_preflight/slurm_3146238.err	crash	Pyxis container start interrupted before probe execution; no model evidence
5	glm5p1-async-config	autoresearch/2026-08-22-glm51-async/tp32-baseline	6bb1dfe49b3a5a7079c96344f085f9a1b1862851	965e68e1e0949e42f989cfb57eb5aee0651387b8	examples/configs/recipes/llm/autoresearch/grpo-glm5.1-80n4g-megatron-async-vllm-tp32-smoke.yaml	config_preflight_exit_code	0	0.0	0.77	sbatch	3146293	sbatch infra/slurm/cscs/autoresearch/preflight_glm51_async_config.slurm	.tmp/glm51-async-topology/logs/glm51_async_smoke/config_3146293/preflight.log	keep	Exact-image MasterConfig topology and NCCL-reshard compatibility passed; COMPLETED 0:0
6	glm5p1-rollout-real	codex/sync-upstream-36b5999a7-replay	a2de667546e760134ca50cd27fed5d556208e7be	a2de667546e760134ca50cd27fed5d556208e7be	.tmp/glm5p1_vllm_preflight/probe_glm5p1_vllm_tp32_async.py	output_tokens_per_second	98.741	73.980	19.77	sbatch	3146245	sbatch .tmp/glm5p1_vllm_preflight/probe_glm5p1_vllm_tp32_async.slurm	.tmp/nemo-upstream-replay/.tmp/glm5p1_vllm_preflight/run_3146245/run.log	keep	Real GLM-5.1 TP32/EP32 async engine loaded all 282 shards, passed deterministic arithmetic semantics, measured 93.15 percent mean GPU use, and completed 0:0
7	glm5p1-async-smoke	autoresearch/2026-08-22-glm51-async/tp32-baseline	6bb1dfe49b3a5a7079c96344f085f9a1b1862851	965e68e1e0949e42f989cfb57eb5aee0651387b8	examples/configs/recipes/llm/autoresearch/grpo-glm5.1-80n4g-megatron-async-vllm-tp32-smoke.yaml	end_to_end_steps	0	0.0	1.20	sbatch	3146357	bash infra/slurm/cscs/autoresearch/submit_glm51_async_smoke.sh	.tmp/glm51-async-topology/3146357-logs/ray-driver.log	crash	Ray reached 320 of 320 GPUs; driver expected SLURM_JOB_ID after ray.sub intentionally clears SLURM variables and exited before NeMo import; no model evidence
8	glm5p1-async-throughput-config	autoresearch/2026-08-22-glm51-async/tp32-throughput-10step	965e68e1e0949e42f989cfb57eb5aee0651387b8	008725773c50d7d158785a31bfebd9aa169a6b29	examples/configs/recipes/llm/autoresearch/grpo-glm5.1-80n4g-megatron-async-vllm-tp32-throughput.yaml	config_preflight_exit_code	0	0.0	0.75	sbatch	3146355	sbatch infra/slurm/cscs/autoresearch/preflight_glm51_async_benchmark.slurm	.tmp/glm51-async-topology/logs/glm51_async_benchmark/config_3146355/preflight.log	keep	Exact-image DAPO data checksum and 1791700 rows, parser, config, topology, NCCL refit, and output gates passed; COMPLETED 0:0
9	glm5p1-async-smoke	autoresearch/2026-08-22-glm51-async/tp32-throughput-10step	008725773c50d7d158785a31bfebd9aa169a6b29	3d1b203470ab19a69a1d473b47e2f67d30b3f05a	examples/configs/recipes/llm/autoresearch/grpo-glm5.1-80n4g-megatron-async-vllm-tp32-smoke.yaml	end_to_end_steps	0	0.0	5.80	sbatch	3146379	bash infra/slurm/cscs/autoresearch/submit_glm51_async_smoke.sh	.tmp/glm51-async-topology/logs/glm51_async_smoke/run_20260822T002244Z_83842/run.log	crash	Launcher and 320-GPU Ray gates passed; 7 of 80 policy venv builders failed rewriting mismatched image-prewarmed source-overlay venvs; cancelled before model setup
10	apertus70b	codex/sync-upstream-36b5999a7-replay	a2de667546e760134ca50cd27fed5d556208e7be	6bb1dfe49b3a5a7079c96344f085f9a1b1862851	examples/configs/recipes/llm/dpo-apertus1p5-8b-maxmin-megatron.yaml	steady_training_mfu_percent	18.5295	78.718	32.67	sbatch	3146385	sbatch --nodes=4 .tmp/apertus70b_perf/launch_apertus70b_dpo_topology.slurm tp4pp4	.tmp/nemo-upstream-replay/.tmp/apertus70b_perf/runs/tp4pp4_3146385/summary.json	keep	COMPLETED 0:0; 10/10 DPO steps; steady steps 3-10 mean 19.349 s, 183.35 TFLOP/s/GPU, 18.53% external GH200 BF16 MFU, 85.70 valid tok/s/GPU
11	glm5p1-async-smoke	autoresearch/2026-08-22-glm51-async/tp32-throughput-10step	3d1b203470ab19a69a1d473b47e2f67d30b3f05a	5c53ef91f7c47420ae490ab392ab5b3bd0486a96	examples/configs/recipes/llm/autoresearch/grpo-glm5.1-80n4g-megatron-async-vllm-tp32-smoke.yaml	end_to_end_steps	0	76.204	14.25	sbatch	3146404	bash infra/slurm/cscs/autoresearch/submit_glm51_async_smoke.sh	.tmp/glm51-async-topology/logs/glm51_async_smoke/run_20260822T002911Z_525/run.log	crash	Ray 320/320, 160/160 clean actor venvs, vLLM 32/32 and Megatron 288-rank model construction passed; first torch_dist conversion save failed in WORLD all_gather_object sharding-integrity metadata decode before refit
12	apertus70b	codex/sync-upstream-36b5999a7-replay	a2de667546e760134ca50cd27fed5d556208e7be	6bb1dfe49b3a5a7079c96344f085f9a1b1862851	examples/configs/recipes/llm/dpo-apertus1p5-8b-maxmin-megatron.yaml	steady_training_mfu_percent	12.7315	90.599	21.83	sbatch	3146572	sbatch --nodes=4 .tmp/apertus70b_perf/launch_apertus70b_dpo_topology.slurm tp2pp8	.tmp/nemo-upstream-replay/.tmp/apertus70b_perf/runs/tp2pp8_3146572/summary.json	discard	COMPLETED 0:0; 10/10 DPO steps; steady steps 3-10 mean 28.143 s, 125.98 TFLOP/s/GPU, 12.73% external GH200 BF16 MFU, 58.89 valid tok/s/GPU; slower and higher peak HBM than TP4/PP4
13	glm5p1-conversion-config	autoresearch/2026-08-22-glm51-async/tp32-throughput-10step	5c53ef91f7c47420ae490ab392ab5b3bd0486a96	089a9a6fb2074d7676b5eb1192d81a93ed455e56	examples/configs/recipes/llm/autoresearch/convert-glm5.1-18n4g-megatron-tp1pp18ep4.yaml	config_preflight_exit_code	0	0.0	2.72	sbatch	3146592	sbatch infra/slurm/cscs/autoresearch/preflight_glm51_megatron_conversion.slurm	.tmp/glm51-async-topology/logs/glm51_megatron_conversion/config_3146592.out	keep	Exact actor TE import; topology and memory preflight; NeMo cache 4/4 and Bridge validation propagation 2/2 passed; COMPLETED 0:0
14	glm5p1-conversion	autoresearch/2026-08-22-glm51-async/tp32-throughput-10step	5c53ef91f7c47420ae490ab392ab5b3bd0486a96	089a9a6fb2074d7676b5eb1192d81a93ed455e56	examples/configs/recipes/llm/autoresearch/convert-glm5.1-18n4g-megatron-tp1pp18ep4.yaml	complete_checkpoint	0	0.0	1.68	sbatch	3146603	sbatch infra/slurm/cscs/autoresearch/convert_glm51_megatron.slurm	.tmp/glm51-async-topology/3146603-logs/ray-driver.log	crash	Ray 72/72 and topology preflight passed; driver interpreter lacked the source Bridge path and failed import before actor/model work; no cache written
15	glm5p1-conversion-config	autoresearch/2026-08-22-glm51-async/tp32-throughput-10step	089a9a6fb2074d7676b5eb1192d81a93ed455e56	074f442eb	examples/configs/recipes/llm/autoresearch/convert-glm5.1-18n4g-megatron-tp1pp18ep4.yaml	driver_import_exit_code	1	0.0	0.52	sbatch	3146609	sbatch infra/slurm/cscs/autoresearch/preflight_glm51_megatron_conversion.slurm	.tmp/glm51-async-topology/logs/glm51_megatron_conversion/config_3146609.err	crash	Bridge source import reached transitive megatron.core import, absent from /opt/nemo_rl_venv; failed before model work
16	glm5p1-conversion-config	autoresearch/2026-08-22-glm51-async/tp32-throughput-10step	074f442eb	4692c1fb0	examples/configs/recipes/llm/autoresearch/convert-glm5.1-18n4g-megatron-tp1pp18ep4.yaml	config_preflight_exit_code	0	0.0	3.27	sbatch	3146621	sbatch infra/slurm/cscs/autoresearch/preflight_glm51_megatron_conversion.slurm	.tmp/glm51-async-topology/logs/glm51_megatron_conversion/config_3146621.out	keep	Exact Megatron actor Python imported TE, MCore, Bridge and full conversion driver; topology/memory and six focused tests passed; COMPLETED 0:0
17	glm5p1-conversion	autoresearch/2026-08-22-glm51-async/tp32-throughput-10step	074f442eb	4692c1fb0	examples/configs/recipes/llm/autoresearch/convert-glm5.1-18n4g-megatron-tp1pp18ep4.yaml	complete_checkpoint	0	0.0	5.95	sbatch	3146627	sbatch infra/slurm/cscs/autoresearch/convert_glm51_megatron.slurm	.tmp/glm51-async-topology/3146627-logs/ray-driver.log	crash	Ray 72/72 and all import gates passed; driver Ray temp path exceeded AF_UNIX 107-byte socket limit before policy actors; no checkpoint evidence
18	apertus70b	autoresearch/2026-08-22-gh200-throughput/tp8pp2	a2de667546e760134ca50cd27fed5d556208e7be	uncommitted	reports/auto_research/20260822-apertus70b-topology/tp8pp2/launch_tp8pp2.slurm	contract_gate	0	0.0	0.17	sbatch	3146631	sbatch launch_tp8pp2.slurm	.none	crash	Cancelled before model work because the new TP8/PP2 launcher case had not been committed; no topology evidence
